GAGE_ID,elev_mean,slope_mean,area,p_mean,pet_mean,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,soil_depth_pelletier,soil_conductivity,sand_frac,clay_frac,water_frac,carbonate,geol_permeability
1013500,250.3100,21.6415,2252.7000,3.1267,1.9716,0.9063,4.1673,3.3407,0.8046,0.3716,7.4048,1.1065,27.8418,16.2757,5.3767,0.0000,-14.7019
1022500,92.6800,17.7907,573.6000,3.6081,2.1193,0.9232,4.8714,3.7467,0.8639,0.3377,17.4128,2.3750,59.3902,12.0376,1.2269,0.0000,-14.2138
1030500,143.8000,12.7920,3676.1700,3.2744,2.0436,0.8782,4.6852,3.6655,0.8585,0.3514,19.0114,1.2898,32.2355,14.7768,1.6343,0.0521,-14.4918
1031500,247.8000,29.5604,769.0500,3.5230,2.0713,0.9548,4.9033,3.9908,0.8707,0.3986,7.2526,1.3733,35.2690,12.6541,0.6746,0.0263,-14.8410
1047000,310.3800,49.9212,909.1000,3.3231,2.0900,0.9906,5.0868,4.3010,0.8914,0.4455,5.3597,2.6152,55.1631,10.3036,0.0000,0.0000,-14.4819
1052500,615.7000,60.0518,383.8200,3.7309,2.0964,1.0000,4.8008,4.1243,0.8800,0.4773,1.3013,1.2630,30.5577,11.1433,0.0000,0.0000,-15.1658
1054200,472.3100,90.1395,180.9800,4.0671,2.1284,1.0000,5.0198,4.2836,0.8867,0.4551,0.9148,2.9191,58.3762,9.8513,0.0000,0.0000,-14.2147
1055000,423.1200,72.8130,250.6400,3.4942,2.0932,0.9916,5.0300,4.3192,0.8862,0.4714,2.1271,2.5500,53.8620,10.3463,0.0000,0.0000,-14.3578
1057000,215.5900,32.6845,190.9200,3.5705,2.1327,0.9415,5.3629,4.5871,0.9055,0.4587,3.7591,4.0304,69.0067,7.8176,0.0000,0.0774,-13.9903
1073000,37.6700,4.7504,31.3000,3.5030,2.2076,0.9008,4.9439,4.0351,0.8414,0.3791,19.9091,2.9487,56.5710,9.9673,0.0000,0.0000,-14.1000
1078000,346.9200,49.7718,222.4600,3.5629,2.1841,0.9873,5.3917,4.5053,0.8987,0.4249,3.6398,4.0254,69.1574,7.8483,0.0000,0.0000,-14.1061
1118300,36.7000,8.7654,10.3600,3.8974,2.3100,0.9330,5.5821,4.8076,0.9113,0.4692,12.9200,3.2710,60.6078,9.2734,0.0000,0.0000,-14.1000
1121000,141.5400,16.9939,70.2500,3.7196,2.3014,0.9652,5.4347,4.8232,0.9086,0.4976,8.9623,3.0682,55.8139,9.1667,0.0000,0.0000,-14.1000
1123000,120.1000,17.1489,77.8500,3.8242,2.3063,0.9141,5.4031,4.8061,0.9074,0.5069,9.0851,3.0795,52.7469,8.6894,0.0000,0.0000,-14.1000
1134500,450.5400,47.5435,195.1300,3.4674,2.0917,0.9963,4.9306,4.2736,0.8862,0.4768,4.0741,1.7560,42.5860,12.7242,0.0000,0.0000,-14.1198
1137500,784.8500,110.1306,228.5500,3.9842,2.1440,0.9972,4.5415,3.6582,0.8658,0.3935,1.5611,2.7777,53.8006,8.7281,0.0000,0.0000,-14.1000
1139000,373.3400,43.1080,246.3300,3.1345,2.1140,0.9737,5.0695,4.3895,0.8801,0.4673,3.7500,1.8868,44.4566,13.2941,0.0000,0.5217,-12.9220
1139800,518.1500,40.9990,22.8000,3.3035,2.1272,1.0000,5.2131,4.6331,0.8990,0.5260,2.5106,1.9363,45.3148,13.0982,0.0000,1.0000,-11.8000
1142500,346.6200,46.9258,82.1700,3.3147,2.1470,0.9799,4.8863,4.2371,0.8848,0.4934,2.8768,1.7786,43.4066,14.4386,0.0000,0.7645,-12.5655
1144000,459.8000,60.2926,1790.2400,3.4209,2.1577,0.9813,5.1640,4.4951,0.8972,0.4929,2.1068,1.8766,44.9595,13.0824,0.0000,0.3237,-13.3802
1162500,310.0700,18.4578,49.7100,3.7835,2.2575,0.9663,5.4027,4.1497,0.8845,0.3329,9.3231,3.6580,65.4868,8.7756,0.0000,0.0000,-14.1000
1169000,374.8900,49.5436,230.6400,3.9212,2.2525,0.9970,5.3781,4.6069,0.9041,0.4557,3.9556,1.7035,42.5078,12.6967,0.0000,0.0197,-14.2609
1170100,325.7100,49.3309,106.9900,3.8946,2.2428,0.9970,5.3841,4.6199,0.8998,0.4568,3.6541,2.0428,48.4324,11.7060,0.0000,0.3188,-13.7095
1181000,417.9300,33.2844,243.5000,3.8150,2.2661,0.9944,5.3860,4.7032,0.9031,0.4819,5.0275,2.0395,47.7675,12.1801,0.0000,0.0030,-14.1061
1187300,309.1000,38.2676,53.9200,3.9506,2.2806,0.9932,5.3972,4.5354,0.8913,0.4144,6.9565,1.8589,47.0130,11.5090,0.0000,0.0000,-14.8804
1195100,19.1700,7.9307,14.8400,3.6825,2.3540,0.9171,5.4696,4.8315,0.9071,0.4970,14.4400,3.0901,58.8885,9.5396,0.0000,0.0000,-14.1000
1333000,485.9100,74.7873,112.1600,3.7046,2.2127,0.9844,5.0106,4.4241,0.8949,0.5191,2.8378,1.5421,38.4417,14.3055,0.0000,0.3124,-13.3765
1350000,612.7800,88.2517,612.5100,3.8698,2.2460,0.9966,5.0526,4.3382,0.8868,0.4654,1.9241,1.2653,33.1547,12.7844,0.0000,0.0000,-15.2049
1350080,587.3500,60.0034,83.8400,3.4928,2.2390,0.9940,5.0133,4.1444,0.8775,0.4292,3.0548,1.2681,33.3491,13.8088,0.0912,0.0000,-15.3774
1350140,579.7400,61.8248,43.7600,3.5014,2.2405,0.9910,5.0460,4.2689,0.8866,0.4599,3.2222,1.0605,22.7810,13.5866,0.0000,0.0000,-15.8034
1365000,465.1700,51.8727,99.5700,4.2114,2.3030,1.0000,5.2401,4.6327,0.9020,0.5021,0.9647,1.0741,26.2185,12.9911,0.0000,0.0000,-15.2000
1411300,15.2500,2.0326,79.3200,3.1754,2.5349,0.8487,5.3540,4.5743,0.8938,0.4405,49.2960,3.4599,39.6893,5.8376,0.0000,0.0000,-13.0000
1413500,724.5100,69.6517,424.1000,3.8325,2.2348,0.9974,4.8600,4.3088,0.8828,0.5236,1.4943,1.2408,31.4216,14.1257,0.0000,0.0000,-15.1998
1414500,775.5800,59.5759,64.4500,3.9800,2.2297,1.0000,5.0898,4.5525,0.8886,0.5249,1.0636,1.0891,25.0559,12.7716,0.7284,0.0000,-15.2000
1415000,604.3400,64.5326,85.6300,3.7731,2.2375,1.0000,4.7648,4.2208,0.8767,0.5223,2.1818,1.2486,31.3006,15.1605,0.0000,0.0000,-15.2000
1423000,593.6700,49.8677,859.6800,3.7038,2.2268,0.9854,4.3277,3.7986,0.8591,0.5253,2.4356,1.3765,35.5487,14.6728,0.0000,0.0000,-15.1997
1434025,729.3300,59.4071,9.7000,4.4370,2.2724,1.0000,5.1431,4.6495,0.8948,0.5420,0.8333,1.0439,25.0755,12.4726,0.0000,0.0000,-15.2000
1435000,560.0500,54.9449,172.4600,4.3177,2.2971,1.0000,5.2031,4.6448,0.8983,0.5198,1.1200,1.1309,28.2503,13.7440,0.0000,0.0000,-15.1995
1439500,307.0600,22.2599,305.8800,3.6833,2.3446,0.9970,5.1739,4.6524,0.8901,0.5330,3.0738,1.6591,40.9732,13.7239,0.0000,0.0000,-15.2772
1440000,234.2000,28.8017,167.7200,3.5499,2.3430,0.9080,5.2832,4.7577,0.8964,0.5349,4.1861,1.7500,32.9533,11.1405,0.0000,0.1495,-14.2270
1440400,334.0600,26.4652,175.2100,3.7534,2.3364,0.9933,5.2050,4.6501,0.8951,0.5164,2.4876,1.4455,36.5671,14.8302,0.0000,0.0000,-14.8732
1451800,180.4100,14.8941,135.8400,3.5032,2.4189,0.4915,2.0553,1.7183,0.6913,0.4217,1.0370,1.2430,32.1287,17.6170,0.0000,0.0028,-16.2182
1466500,38.9400,2.5346,5.3800,3.5398,3.0598,1.0000,4.1963,2.7594,0.8232,0.2367,49.6364,7.9546,83.3664,3.1806,0.0000,0.0000,-13.0000
1484100,17.9700,1.0372,9.0000,3.3213,2.6026,0.3605,2.1009,1.6237,0.7069,0.3555,49.5556,3.2009,58.6916,13.8666,0.0000,0.0000,-13.0000
1485500,15.4600,1.6686,141.5400,3.2406,2.6303,0.8670,4.6954,3.2770,0.8346,0.2584,47.8466,4.2591,53.0273,6.3253,0.0000,0.0000,-10.9000
1486000,10.2100,1.4713,11.1800,3.2744,2.6748,0.8888,5.0707,3.3739,0.8445,0.2368,46.4444,1.8935,42.1116,11.8795,0.0000,0.0000,-10.9000
1487000,13.8400,1.1000,187.4100,3.3390,2.6076,0.4165,2.1582,1.6724,0.7098,0.3550,49.1931,2.5955,38.6826,9.9216,0.0000,0.0000,-13.0000
1491000,18.5400,1.4195,292.0400,3.3051,2.5925,0.2319,2.7116,2.2764,0.7587,0.4256,48.5290,2.5209,33.0029,8.0656,0.0000,0.0000,-12.4235
1510000,482.2100,28.7642,382.9900,3.4623,2.2408,0.9804,4.5068,3.9080,0.8679,0.5040,3.8427,1.0549,25.2456,16.0882,0.0000,0.0720,-16.0426
1516500,634.5900,29.7969,31.4800,3.1826,2.2661,0.9661,3.9590,3.4592,0.8251,0.4906,4.8868,1.1970,29.8200,15.5008,0.0000,0.0000,-15.4207
1518862,600.8700,37.2816,233.9100,3.0316,2.2678,0.9837,3.9463,3.4421,0.8295,0.5033,3.4274,1.1544,26.9263,14.0250,0.0000,0.0000,-15.7286
1532000,507.1400,40.9163,553.9400,3.1951,2.2969,0.9549,4.3164,3.7724,0.8489,0.4853,3.3572,1.2662,31.8888,15.5473,0.0000,0.0000,-14.7360
1539000,333.7500,32.4794,701.7800,3.4234,2.3601,0.8311,4.6693,4.0128,0.8644,0.4627,4.5961,1.2819,32.8469,15.6326,0.1007,0.0000,-15.5264
1542810,492.7000,45.5572,13.6200,3.4225,2.2688,1.0000,5.2661,4.7448,0.9004,0.5503,0.9600,1.1963,31.0181,16.5915,0.0000,0.0000,-15.0206
1543000,543.3700,36.5375,705.5000,3.3900,2.2767,0.9922,5.1414,4.5983,0.8953,0.5344,0.9929,1.3011,33.9371,16.6758,0.0000,0.0000,-14.6131
1543500,547.4400,31.2823,1778.2600,3.4089,2.2839,0.9878,5.1234,4.5702,0.8945,0.5241,1.0200,1.3532,35.5934,17.1181,0.0000,0.0000,-14.3537
1544500,551.6000,36.2627,355.0600,3.3635,2.2907,1.0000,5.0607,4.5380,0.8921,0.5310,0.9518,1.3992,36.2921,16.5167,0.0000,0.0000,-15.1862
1545600,518.9700,53.6831,120.0000,3.3846,2.2980,1.0000,5.1911,4.6133,0.8971,0.5035,0.9701,1.8847,46.6105,16.3128,0.0000,0.0000,-14.1559
1547700,353.5700,43.0263,113.5400,3.1350,2.3474,0.9047,4.9335,4.3537,0.8804,0.5008,1.2097,1.1624,30.5681,15.5477,0.0000,0.0030,-15.1697
1548500,546.7100,39.1417,1557.0500,3.1533,2.2718,0.9866,4.7801,4.2353,0.8768,0.5085,1.0296,1.2217,29.4829,14.6722,0.0000,0.0000,-14.8083
1549500,528.1600,32.3934,97.4900,3.3322,2.2938,0.9888,4.4969,3.9067,0.8598,0.4814,0.9509,1.2520,31.2893,15.5596,0.0000,0.0000,-15.0026
1550000,455.4100,46.2853,452.6800,3.3698,2.2929,0.9880,4.8364,4.2584,0.8813,0.5025,1.1724,1.1988,27.6866,14.2455,0.0000,0.0000,-14.3602
1552000,461.4300,37.2753,1129.4900,3.4770,2.3117,0.9911,4.9692,4.3762,0.8851,0.4869,3.8956,1.3328,33.4436,15.4181,0.0000,0.0000,-14.4365
1552500,535.2400,46.4636,60.6400,3.6231,2.2920,0.9956,5.1103,4.5185,0.8975,0.4939,1.6635,1.3378,33.7918,15.6106,0.0000,0.0000,-15.0374
1557500,389.9900,38.1715,115.3000,3.1531,2.3596,0.9012,4.9527,4.3698,0.8827,0.4952,1.1158,1.3644,36.5562,16.2604,0.0000,0.0460,-15.2720
1567500,314.4800,46.4732,38.7700,3.2128,2.4338,0.7969,3.5345,3.0122,0.7966,0.4526,0.8923,0.9149,26.4416,23.0423,0.0000,0.2256,-14.8970
1568000,265.5200,34.5265,534.3900,3.3297,2.4250,0.7062,4.3666,3.8339,0.8426,0.4875,1.0298,1.2911,37.5156,18.8837,0.0000,0.1138,-15.5296
1580000,174.3000,12.4424,244.3700,3.4317,2.5273,0.4241,2.5116,2.1468,0.7527,0.4569,1.0462,1.1070,29.4296,18.6598,0.0000,0.0000,-14.1000
1583500,156.3200,13.6759,155.8500,3.2621,2.5529,0.5155,2.8606,2.4169,0.7637,0.4361,1.1000,1.2323,32.4456,18.0157,0.0000,0.1684,-13.7057
1586610,196.8800,11.8529,72.7000,3.3047,2.5440,0.3247,2.5163,2.0916,0.7268,0.4058,1.0168,1.1656,29.0266,16.0880,0.0000,0.0000,-14.0390
1591400,149.2100,7.7915,59.0900,3.2850,2.6240,0.3311,2.2606,1.8040,0.7175,0.3803,1.0316,0.9990,26.1352,19.4322,0.0000,0.0000,-14.1000
1594950,899.8200,37.3822,6.1200,3.9211,2.4534,0.9731,4.6459,4.1443,0.8650,0.5233,1.0000,1.5478,38.6250,15.3750,0.0000,0.0000,-16.2759
1596500,663.4200,53.9668,124.6500,3.3143,2.4369,0.8759,4.4698,3.9114,0.8518,0.4769,1.0000,1.4946,32.2242,13.2539,0.0000,0.0000,-15.2383
1605500,856.8600,70.4411,463.8500,3.2097,2.5166,0.9904,4.6492,4.0446,0.8523,0.4715,0.9504,1.6265,43.1489,15.8930,0.0000,0.1652,-13.8824
1606500,836.3800,75.8621,1684.5500,3.3635,2.4991,0.9336,4.7782,4.1986,0.8689,0.4896,0.9504,1.3617,36.4817,16.6810,0.0000,0.2182,-14.1648
1613050,261.6000,35.5443,27.9000,3.0885,2.4467,0.9354,4.1873,3.6668,0.8340,0.4712,0.9318,1.9742,43.7507,14.2722,0.0000,0.0000,-15.2693
1620500,786.3500,74.9790,44.7400,3.3986,2.5277,0.9722,4.8888,4.1833,0.8718,0.4339,0.9500,1.6808,43.2454,16.1453,0.0000,0.0000,-15.9424
1632000,543.7600,51.7082,543.3600,2.9310,2.5500,0.7080,4.9363,4.2798,0.8828,0.4700,1.0928,1.4884,39.0785,16.4502,0.0000,0.0141,-15.5394
1632900,417.2900,48.6244,245.0500,2.9081,2.5928,0.5837,3.5517,2.9183,0.7838,0.3952,1.0594,0.7318,29.7092,36.0584,0.0000,0.6008,-12.9503
1634500,344.4400,47.4082,263.9800,2.9792,2.5237,0.7781,4.9422,4.3430,0.8837,0.4925,0.9020,1.3902,39.0389,17.9895,0.0000,0.0105,-15.0288
1638480,155.9800,16.8880,232.0000,3.0344,2.5581,0.4659,3.0133,2.5410,0.7561,0.4220,1.0332,1.3522,40.7628,23.7233,0.0000,0.0036,-13.8061
1639500,198.1000,11.6124,267.1800,3.2332,2.5353,0.1173,2.0174,1.6175,0.6927,0.3797,1.0619,1.0436,23.2061,13.9683,0.0000,0.0188,-14.1274
1644000,187.2500,23.9533,859.1700,3.0476,2.5576,0.6186,3.3677,2.8666,0.7816,0.4352,1.0733,1.1722,36.5049,23.8653,0.0000,0.0019,-13.7579
1658500,97.4400,6.8839,19.3400,3.2181,2.6855,1.0000,5.4006,4.7289,0.8921,0.4727,1.0000,1.6357,44.7333,20.7333,0.0000,0.0000,-13.4126
1664000,216.1000,30.3265,1605.1000,3.1490,2.5720,0.7519,4.4384,3.8384,0.8544,0.4740,1.0500,1.2019,36.1755,21.1687,0.0000,0.0005,-13.9690
1666500,201.5900,24.9829,463.1500,3.2009,2.6581,0.8137,4.2708,3.6268,0.8479,0.4572,1.0338,1.1584,34.6535,22.0633,0.0000,0.0047,-14.2526
1667500,193.4700,23.4403,1209.7500,3.2080,2.6882,0.8033,4.1127,3.4666,0.8329,0.4436,1.0670,1.0392,30.7700,21.8031,0.0000,0.0018,-14.1348
1669000,42.9400,4.0965,71.8400,3.1970,2.6781,0.9098,4.5869,3.3956,0.8345,0.3165,35.5932,3.1785,65.2667,17.5333,0.0000,0.0000,-13.0000
1669520,25.4200,4.9730,277.3900,3.2732,2.6902,0.9295,5.2418,3.6326,0.8585,0.2623,38.2128,2.3227,60.9401,19.2565,0.0000,0.0000,-12.4147
2011400,783.8600,73.9274,407.7200,3.2886,2.5430,0.9953,4.8553,4.2493,0.8733,0.4859,0.9413,1.5488,44.1011,18.6065,0.0000,0.0075,-14.6756
2011460,878.3800,77.1034,156.3400,3.4043,2.5167,0.9950,4.6984,4.1334,0.8673,0.4896,0.9056,1.6437,43.4922,16.7479,0.0000,0.0000,-15.5249
2013000,691.8200,70.8599,424.7800,3.0363,2.5956,0.9852,5.0467,4.4550,0.8877,0.5029,0.9457,1.4886,43.3881,18.7912,0.0000,0.0592,-15.1955
2014000,691.0400,73.6303,396.7800,3.1246,2.5485,0.9092,5.0283,4.4278,0.8872,0.5017,0.9517,1.5199,43.6377,18.8650,0.0000,0.0084,-15.4203
2015700,753.5200,68.7265,285.4100,3.1955,2.5378,0.9911,4.8825,4.2348,0.8720,0.4698,1.0227,1.9621,48.8557,15.7936,0.0000,0.0013,-14.4666
2016000,645.0400,66.4206,1194.5500,3.1448,2.5738,0.9317,5.0887,4.3854,0.8839,0.4594,1.0139,1.6402,43.3410,16.7471,0.0000,0.0003,-15.2353
2017500,695.2700,69.6308,276.1500,3.0253,2.5990,0.9349,4.9147,4.3019,0.8746,0.4841,1.0458,1.6099,44.3547,17.7669,0.0000,0.0139,-15.1362
2018000,648.6800,66.9666,852.3400,3.0558,2.6208,0.8857,4.9487,4.3211,0.8788,0.4794,1.0070,1.6430,44.8596,17.4531,0.0000,0.0177,-15.3324
2027000,387.4400,57.5512,240.7700,3.4679,2.6448,0.9407,4.6971,4.0694,0.8763,0.4810,0.9342,0.9899,28.8551,20.0960,0.0000,0.0000,-14.0448
2027500,350.5300,52.5156,123.3400,3.6655,2.6408,0.9407,4.5929,3.9770,0.8732,0.4816,0.9592,0.8307,21.2167,20.3818,0.0000,0.0000,-14.1000
2028500,377.4800,66.8683,245.4500,3.3264,2.5970,0.9644,4.7970,4.1720,0.8820,0.4928,1.0054,1.1069,33.8359,22.6187,0.0000,0.0000,-13.7687
2038850,176.4100,9.8013,22.0000,3.1496,2.8894,0.9300,5.3991,4.3350,0.8844,0.3793,1.0270,0.5862,22.1841,47.1451,0.0000,0.0000,-15.8882
2046000,86.6400,6.0448,288.5200,3.2689,2.7490,0.9359,5.2644,3.8349,0.8700,0.3007,1.1818,0.8621,30.8958,29.7130,0.0000,0.0000,-14.0460
2051000,151.0200,7.5000,144.8200,3.1709,2.7190,0.9387,5.0211,4.0247,0.8694,0.3882,1.0271,0.6148,24.0143,46.1061,0.0000,0.0000,-14.1000
2051500,113.4000,6.8562,1428.7100,3.1903,2.9770,0.9081,4.9076,3.6720,0.8546,0.3255,1.0967,0.7306,27.7843,37.9312,0.0000,0.0000,-14.0727
2053200,25.2800,2.2033,583.6600,3.3339,2.7969,0.5848,3.2384,2.4725,0.7725,0.3458,47.7146,1.8013,45.7706,16.2794,0.0000,0.0000,-13.0346
2053800,705.6800,36.1654,280.7200,3.2281,2.6675,0.8875,4.6590,4.0026,0.8597,0.4505,0.9909,0.8872,32.4577,31.8523,0.0000,0.0730,-14.7160
2055100,399.9900,38.7904,30.5400,3.0562,2.6644,0.5089,3.8382,3.1887,0.8035,0.4092,0.9434,0.5750,22.1949,45.1132,0.0000,0.7119,-12.9343
2056900,423.0700,33.4952,298.1100,3.1793,2.7053,0.9121,4.3417,3.6024,0.8360,0.4138,1.0353,0.9524,36.5396,35.9612,0.0000,0.0000,-14.1418
2059500,319.1400,27.0257,485.4100,3.0996,3.2012,0.8421,4.2795,3.6054,0.8209,0.4209,1.0231,0.9352,36.3502,35.8073,0.0000,0.0041,-14.5692
2064000,192.2100,9.9569,427.7700,3.0955,2.9264,0.9090,4.3450,3.3396,0.8120,0.3385,1.0706,0.6583,25.8117,43.7296,0.0000,0.0000,-14.7619
2065500,170.0900,10.0629,252.5800,3.1329,3.6953,0.9058,4.6420,3.7218,0.8392,0.3777,1.0526,0.6805,27.2597,44.0182,0.0000,0.0000,-14.1599
2069700,372.6200,23.0183,221.1300,3.5226,2.7169,0.9644,4.6236,3.9645,0.8645,0.4535,1.0234,0.7484,26.6351,36.9802,0.0000,0.0000,-14.5210
2070000,308.6600,12.2261,270.6100,3.3004,3.7616,0.9642,4.9070,4.1695,0.8731,0.4402,1.0601,0.7453,29.2786,41.4440,0.0000,0.0000,-14.2184
2074500,223.3000,10.7086,288.5300,3.2710,3.4224,0.8579,4.2944,3.4222,0.8265,0.3830,1.0371,0.7471,31.6938,44.9421,0.0000,0.0000,-14.0036
2077200,194.0000,7.0845,121.6900,3.2784,2.8608,0.7114,3.7405,3.1365,0.7983,0.4141,1.0357,0.8243,14.9104,11.7127,0.0000,0.0000,-14.1000
2081500,132.2100,6.4653,428.3700,3.2666,2.7916,0.8481,3.9202,3.1407,0.8046,0.3796,1.1484,0.8287,24.6650,27.9036,0.0000,0.0000,-14.0159
2082950,79.7700,6.5458,460.8500,3.2631,3.1581,0.7774,5.2621,3.8380,0.8686,0.2858,1.4842,1.0604,40.0672,33.5326,0.0000,0.0000,-14.0079
2092500,21.8800,2.5707,447.5800,3.7828,3.2678,0.7118,3.8268,2.5978,0.7816,0.2573,44.2069,3.0273,59.9072,14.9612,0.0000,0.3828,-12.5406
2096846,182.8500,7.7346,19.5700,3.3462,3.1901,0.9156,4.9933,4.1563,0.8650,0.4001,1.0313,0.8078,24.4064,31.1337,0.0000,0.0000,-13.7966
2102908,106.8800,10.4816,19.7300,3.3551,3.0197,0.6906,3.0230,1.7099,0.6824,0.1601,1.0000,3.8993,71.0000,15.3333,0.0000,0.0000,-10.9658
2108000,31.6100,3.1403,1569.4800,3.8104,3.2078,0.4232,2.6370,1.9823,0.7185,0.3155,29.4375,2.9724,62.1613,15.2190,0.0000,0.0689,-12.9173
2111180,551.0600,56.4299,131.4700,3.7157,2.7206,1.0000,5.0319,4.2532,0.8927,0.4361,1.0357,1.4471,39.9708,20.1882,0.0000,0.0000,-14.1000
2111500,454.0200,35.9581,233.6600,3.5828,2.9450,0.9831,4.9293,4.0555,0.8811,0.3996,1.0085,1.1349,33.9785,24.5663,0.0000,0.0000,-14.1000
2112120,460.0300,35.9355,322.2700,3.5588,2.7997,0.9010,4.9018,4.0140,0.8773,0.3942,0.9979,1.1996,37.3023,27.1885,0.0000,0.0000,-14.1000
2112360,405.8600,23.7183,205.3000,3.4404,2.8608,0.8821,4.7143,3.8800,0.8652,0.4057,1.0064,1.1744,34.8157,25.4075,0.0000,0.0000,-14.1000
2118500,336.8200,18.1747,400.5300,3.4977,2.8543,0.7055,3.8514,3.2156,0.8151,0.4136,1.0439,0.8379,31.0882,37.9491,0.0000,0.0000,-14.1000
2125000,190.2300,9.3219,144.5500,3.2335,3.0786,0.3877,3.1380,2.4345,0.7657,0.3346,1.0679,0.6471,15.9171,29.9467,0.0000,0.0000,-14.7769
2128000,195.2300,8.9703,273.4800,3.2407,2.9377,0.8588,4.7566,3.9087,0.8532,0.3885,1.0565,0.7714,23.2965,31.7234,0.0000,0.0000,-14.2609
2137727,602.1800,65.1104,329.5400,3.9813,2.7663,0.9861,4.9439,4.2122,0.8845,0.4385,1.0412,1.4514,40.5186,21.0714,0.0000,0.0000,-14.1023
2140991,529.4200,43.7652,521.9900,3.7278,2.7683,0.9821,5.2274,4.2435,0.8935,0.3792,1.0541,1.6296,43.1296,17.7710,0.0000,0.0000,-14.1000
2143000,399.3500,27.0708,216.6700,3.7045,2.9176,0.6406,5.0240,3.9858,0.8671,0.3648,1.0751,1.2936,37.1906,26.0490,0.0000,0.0000,-14.1000
2143040,411.3300,33.1444,66.4800,4.0458,2.8104,0.9465,5.1551,4.2501,0.8908,0.3922,1.0291,1.3327,37.1474,23.6514,0.0000,0.0000,-14.1000
2149000,403.9100,39.5462,203.8500,3.8216,2.9941,0.9755,5.1473,4.3966,0.8881,0.4505,1.0561,1.3566,39.7779,24.8674,0.0000,0.0000,-14.1000
